Brand,PriceperRoll,SheetsperRoll,CostperSheet
1,1.59,50,0.0318
2,0.89,55,0.0162
3,0.97,64,0.0152
4,1.49,96,0.0155
5,1.56,90,0.0173
6,0.84,60,0.014
7,0.79,52,0.0152
8,0.75,72,0.0104
9,0.72,80,0.009
10,0.53,52,0.0102
11,0.59,85,0.0069
12,0.89,80,0.0111
13,0.67,85,0.0079
14,0.66,80,0.0083
15,0.59,80,0.0074
16,0.76,80,0.0095
17,0.85,85,0.01
18,0.59,85,0.0069
19,0.57,78,0.0073
20,1.78,180,0.0099
21,1.98,180,0.0011
22,0.67,100,0.0067
23,0.79,100,0.0079
24,0.55,90,0.0061
